ID,university names,country code
499,Paris Sciences et Lettres – PSL Research University Paris,FRA
500,École normale supérieure de Lyon,FRA
501,École Polytechnique,FRA
502,Paris-Sud University,FRA
503,Centrale Nantes,FRA
504,University of Strasbourg,FRA
505,Paris Diderot University – Paris 7,FRA
506,Sorbonne University,FRA
507,Grenoble Alpes University,FRA
508,University of Rennes 1,FRA
509,IMT Atlantique,FRA
510,University of Lille,FRA
511,University of Lorraine,FRA
512,University of Côte d’Azur,FRA
513,Federal University of Toulouse Midi-Pyrénées,FRA
514,École normale supérieure Paris-Saclay,FRA
515,Normandy University,FRA
516,Claude Bernard University Lyon 1,FRA
517,University of Bordeaux,FRA
518,Montpellier University,FRA
519,Université Bourgogne Franche-Comté (UBFC),FRA
520,Aix-Marseille University,FRA
521,Université de Versailles Saint-Quentin-en-Yvelines,FRA
522,University of Clermont Auvergne,FRA
523,University of Oulu,FIN
524,Aalto University,FIN
525,University of Helsinki,FIN
526,University of Eastern Finland,FIN
527,Tampere University of Technology,FIN
528,University of Turku,FIN
529,University of Tampere,FIN
530,University of Jyväskylä,FIN
531,University of Tartu,EST
532,Tallinn University of Technology,EST
533,Cairo University,EGY
534,Alexandria University,EGY
535,Menoufia University,EGY
536,Ain Shams University,EGY
537,Aalborg University,DNK
538,Technical University of Denmark,DNK
539,University of Southern Denmark,DNK
540,Brno University of Technology,CZE
541,Czech Technical University in Prague,CZE
542,Masaryk University,CZE
543,VŠB - Technical University of Ostrava,CZE
544,Charles University in Prague,CZE
545,University of Cyprus,CYP
546,University of Zagreb,HRV
547,"University of the Andes, Colombia",COL
548,National University of Colombia,COL
549,Nanjing University of Information Science and Technology,CHN
550,Yangzhou University,CHN
551,Tsinghua University,CHN
552,Peking University,CHN
553,University of Science and Technology of China,CHN
554,Shenzhen University,CHN
555,Nanjing Normal University,CHN
556,Xi’an Jiaotong University,CHN
557,Central South University,CHN
558,Sun Yat-sen University,CHN
559,Southeast University,BGD
560,Xiangtan University,CHN
561,Huazhong University of Science and Technology,CHN
562,Shanghai Jiao Tong University,CHN
563,Nanjing University,CHN
564,Dalian University of Technology,CHN
565,Harbin Institute of Technology,CHN
566,Zhejiang University,CHN
567,Fudan University,CHN
568,University of Science and Technology Beijing,CHN
569,Nankai University,CHN
570,Sichuan University,CHN
571,Renmin University of China,CHN
572,Xidian University,CHN
573,Hunan University,CHN
574,South China University of Technology,CHN
575,Tongji University,CHN
576,Northwestern Polytechnical University,CHN
577,China University of Mining and Technology,CHN
578,Xiamen University,CHN
579,"China University of Geosciences, Wuhan",CHN
580,East China Normal University,CHN
581,Beihang University,CHN
582,Southwest Jiaotong University,CHN
583,Tianjin University,CHN
584,Beijing Jiaotong University,CHN
585,Wuhan University,CHN
586,Shanghai Maritime University,CHN
587,Huaqiao University,CHN
588,Chongqing University,CHN
589,Shandong University,CHN
590,Beijing Institute of Technology,CHN
591,Jinan University,CHN
592,Shanghai University,CHN
593,Soochow University,CHN
594,Harbin Engineering University,CHN
595,"Northeastern University, Shenyang, China",CHN
596,Ocean University of China,CHN
597,Jiangsu University,CHN
598,Fuzhou University,CHN
599,Guangxi University,CHN
600,"Northwest University, Xi'an City, China",CHN
601,Yanshan University,CHN
602,Jilin University,CHN
603,Wuhan University of Technology,CHN
604,Pontifical Catholic University of Chile,CHL
605,University of Chile,CHL
606,"Universidad Técnica ""Federico Santa María""",CHL
607,University of Toronto,CAN
608,University of Montreal,CAN
609,University of British Columbia,CAN
610,McMaster University,CAN
611,University of Waterloo,CAN
612,Université de Sherbrooke,CAN
613,University of Alberta,CAN
614,McGill University,CAN
615,Simon Fraser University,CAN
616,University of Windsor,CAN
617,University of Victoria,CAN
618,Carleton University,CAN
619,University of Ottawa,CAN
620,Université du Québec,CAN
621,Queen’s University,CAN
622,Concordia University,CAN
623,University of Saskatchewan,CAN
624,Laval University,CAN
625,University of Calgary,CAN
626,Dalhousie University,CAN
627,University of Guelph,CAN
628,Memorial University of Newfoundland,CAN
629,Federal University of Minas Gerais,BRA
630,Pontifical Catholic University of Rio Grande do Sul (PUCRS),BRA
631,University of Campinas,BRA
632,Federal University of Ceará (UFC),BRA
633,Federal University of Rio Grande do Sul,BRA
634,Federal University of Bahia,BRA
635,São Paulo State University (UNESP),BRA
636,Federal University of Rio Grande do Norte (UFRN),BRA
637,University of São Paulo,BRA
638,Federal University of Pernambuco,BRA
639,Federal University of Uberlândia,BRA
640,Federal University of Paraná (UFPR),BRA
641,Federal University of São Carlos,BRA
642,Federal University of Rio de Janeiro,BRA
643,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),BRA
644,Federal University of Santa Catarina,BRA
645,Fluminense Federal University,BRA
646,Rio de Janeiro State University (UERJ),BRA
647,Federal University of Technology – Paraná,BRA
648,University of Brasília,BRA
649,Université catholique de Louvain,BEL
650,KU Leuven,BEL
651,University of Liège,BEL
652,University of Antwerp,BEL
653,Ghent University,BEL
654,Vrije Universiteit Brussel,BEL
655,Université libre de Bruxelles,BEL
656,Hasselt University,BEL
657,Graz University of Technology,AUT
658,University of Innsbruck,AUT
659,Vienna University of Technology,AUT
660,University of Vienna,AUT
661,Johannes Kepler University of Linz,AUT
