ID,university names,country code,address
3186,Kakatiya University,IND,"NH-563, Vidyaranyapuri, Hanamkonda, Warangal, Telangana 506009, India"
3187,Kalinga University,IND,"Village Kotni, Near Mantralaya, Atal Nagar, Chhattisgarh 492101, India"
3188,Kameshwar Singh Darbhanga Sanskrit University,IND,"Kameshwar Nagar, Darbhanga, Bihar 846004, India"
3189,Kamrah International Institute of Technology (KIIT),IND,NaN
3190,Kannada University,IND,"Vidyaranya, Hospet ,Bellary, Hampi, Karnataka 583278, India"
3191,Kannur University,IND,"Thavakkara,Civil station (PO), Kannur, Kerala 670002, India"
3192,Kanpur University,IND,NaN
3193,Karnataka State Law University,IND,"Sutagatti Road, Navanagar, Hubali-Dharwad, Karnataka 580025, India"
3194,Karnataka State Open University,IND,"Mukhtagangotri, Mysuru, Karnataka 570006, India"
3195,Karnatak University,IND,"Pavate Nagar, Dharwad, Karnataka 580003, India"
3196,Karpagam University,IND,"Salem - Kochi Hwy, Eachanari, Coimbatore, Tamil Nadu 641021, India"
3197,Karunya Institute Of Technology ( Deemed University),IND,"Karunya Nagar, Coimbatore, Tamil Nadu 641114, India"
3198,Kerala Agricultural University,IND,"P.O, N.H. 47, Vellanikkara, Thrissur, Kerala 680656, India"
3199,Kerala University of Fisheries and Ocean Sciences,IND,"Panangad Road, Madavana, Junction, Kochi, Kerala 682506, India"
3200,Kohinoor School of Hospitality Management,IND,"Near, Sane Guruji Vidyalaya Bldg, BW Pathare Marg, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India"
3201,Konkan Agricultural University,IND,"Dapoli, Maharashtra 415712, India"
3202,Krishna University,IND,"A.J Kalasala Campus, Rajupeta, Machilipatnam, Andhra Pradesh 521001, India"
3203,Kumaun University,IND,"Nainital - Kaladungi Road, Sleepy Hallow, Nainital, Uttarakhand 263001, India"
3204,Kurukshetra University,IND,"Kurukshetra University, Thanesar, Haryana 136119, India"
3205,Kuvempu University,IND,"Jnanasahyadri, Shankaraghatta, Road leading to Kuvempu University, Shimoga, Karnataka 577451, India"
3206,Lakshmibai National Institute of Physical Education,IND,"Racecourse Rd, LNUPE Campus, Thatipur, Shakti Nagar, Madhya Pradesh 474002, India"
3207,Lalit Narayan Mithila University,IND,"Kameshwaranagar, Darbhanga, Bihar 846004, India"
3208,L.D.College of Engineering,IND,"120, Circular Road, University Area, Ahmedabad, Gujarat 380015, India"
3209,Madhya Pradesh Bhoj (Open) University,IND,"Kolar Rd, Near Swarn Jayanti Park, Yashoda Vihar Colony, Chuna Bhatti, Bhopal, Madhya Pradesh 462016, India"
3210,Madurai Kamaraj University,IND,"Alagar Kovil Main Rd, Tallakulam, Madurai, Tamil Nadu 625002, India"
3211,Magadh University,IND,"Bodh Gaya, Bihar 824234, India"
3212,Maharaja Ganga Singh University - Bikaner,IND,"National Highway 15, Jaisalmer Road, Near Nall Road, Bikaner, Rajasthan 334001, India"
3213,Maharaja Sayajirao University of Baroda,IND,"Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390020, India"
3214,Maharishi Dayanand University - Rohtak (Haryana ),IND,"Maharshi Dayanand University, Rohtak, Haryana 124001, India"
3215,Maharshi Dayanand Sarswati University Ajmer,IND,"Pushkar Bypass, Ajmer, Rajasthan 305009, India"
3216,Mahatma Gandhi Chitrakut Gramoday University,IND,"Chitrakoot, Satna, Madhya Pradesh 485334, India"
3217,Mahatma Gandhi Kashi Vidyapith,IND,"Station Road, Maldahiya Crossing, Maldahiya, Kashi Vidyapith, Chetganj, Varanasi, Uttar Pradesh 221002, India"
3218,Mahatma Gandhi University - Kerala,IND,"Priyadarsini Hills Post, Administrative Block, University Campus Road, Athirampuzha, Kerala 686560, India"
3219,Mahatma Gandhi University Meghalaya,IND,"13th Mile,G.S. Road, Khanapara Under Dist-Ri-Bhoi, Meghalaya, 793101, India"
3220,Mahatma Jyotiba Phule Rohilkhand University Bareilly,IND,"Pilibhit Bypass Rd, M.J.P Rohilkahand University, Bareilly, Uttar Pradesh 243006, India"
3221,Mahatma Phule Agricultural University,IND,"Manmad Rd, Ahmed Nagar, Rahuri, Maharashtra 413722, India"
3223,Makhanlal Chaturvedi National University of Journalism and Communication,IND,"B-38, Vikas Bhawan, Opp Dak Bhawan, Press Complex Zone-1, Maharana Pratap Nagar, Bhopal, Madhya Pradesh 462011, India"
3224,Mangalore University,IND,"U.P.Malya Road, Hampanakatte, Mangalore, Karnataka 575001, India"
3225,Manipal University,IND,"Tiger Circle Road, Madhav Nagar, Manipal, Karnataka 576104, India"
3226,Manipur University,IND,"Indo Myanmar Road, Canchipur, Imphal, Manipur 795003, India"
3227,Manonmaniam Sundaranar University,IND,"Abishekapatti, Tirunelveli, Tamil Nadu 627012, India"
3228,Mar Athanasios College for Advanced Studies,IND,"Thukalassery, Thiruvalla, Kerala 689101, India"
3229,Marathwada Agricultural University,IND,"Basmat Road, Krishinagar, Parbhani, Maharashtra 431402, India"
3230,Mohan Lal Sukhadia University,IND,"University Rd, Ganapati Nagar, Udaipur, Rajasthan 313001, India"
3231,Mother Teresa Women's University,IND,"Attuvampatti, Kodaikanal, Tamil Nadu 624101, India"
3232,Motilal Nehru National Institute Of Technology,IND,"Barrister Mullah Colony, MNNIT Allahabad Campus, Teliarganj, Prayagraj, Uttar Pradesh 211004, India"
3233,Moulana Azad national Urdu University,IND,"Urdu University Road, Near LNT Towers, Telecom Nagar, Gachibowli, Hyderabad, Telangana 500032, India"
3234,Nagaland University,IND,"Meriema, Nagaland 797004, India"
3235,Nagpur University,IND,"Amravati Rd, Ram Nagar, Nagpur, Maharashtra 440033, India"
3236,Nalanda Open University,IND,"Biscomaun Bhawan, 2nd, 3rd Floor, Gandhi Maidan Rd, Patna, Bihar 800001, India"
3237,Narendra Deva University of Agriculture and Technology,IND,"Kumarganj, Faizabad, Uttar Pradesh 224229, India"
3238,Narsee Monjee Institute of Management Studies,IND,"V. L, Pherozeshah Mehta Road, JVPD Scheme, Vile Parle West, Mumbai, Maharashtra 400056, India"
3239,National Dairy Research Institute,IND,"Near Jewels Hotel, GT Rd, Karnal, Haryana 132001, India"
3240,National Institute of Industrial Engineering,IND,"Vihar Lake Rd, Near The Residence Hotel, NITIE Admin Block, Powai, Mumbai, Maharashtra 400087, India"
3241,National Institute of Mental Health and Neuro Sciences,IND,"Hosur Road, Near Bangalore Milk Dairy, Bengaluru, Karnataka 560029, India"
3242,National Institute of Technology - Calicut,IND,"Calicut Mukkam Road, Kattangal, Kerala 673601, India"
3245,National Institute of Technology Kurukshetra,IND,"NIT, Mirzapur Part, Haryana 136119, India"
3249,National Law School of India University,IND,"Gnana Bharathi Main Rd, Opp NAAC, Teachers Colony, Naagarabhaavi, Bengaluru, Karnataka 560072, India"
3250,"National Museum Institute of History of Art, Conservation and Museology",IND,"Janpath, Connaught Place, New Delhi, Delhi 110011, India"
3251,National Sanskrit University,IND,"Vishal Khand 4, Vishal Khand - 4, Vishal Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010, India"
3252,Netaji Subhas Inst of Technology,IND,"Amhara, Bihta, Patna, Bihar 801118, India"
3253,Nirma University,IND,"Sarkhej - Gandhinagar Hwy, Gota, Ahmedabad, Gujarat 382481, India"
3254,Nizam's Institute of Medical Sciences,IND,"Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082, India"
3255,North Bengal University,IND,"Raja Rammohunpur, West Bengal 734014, India"
3256,North Eastern Hill University,IND,"Umshing Mawkynroh, Shillong, Meghalaya 793022, India"
3257,North Maharashtra University,IND,"Umavi Nagar, Jalgaon, Maharashtra 425001, India"
3258,Open International University for Alternative Medicines,IND,NaN
3259,Orissa University of Agriculture and Technology,IND,"Unit 8, Near Post Office, Surya Nagar, Bhubaneswar, Odisha 751003, India"
3260,Pandit Ravi Shankar Shukla University,IND,"Great Eastern Rd, Amanaka, Raipur, Chhattisgarh 492010, India"
3261,Patna University,IND,"Ashok Rajpath, Near Patna College, Patna, Bihar 800005, India"
3262,Periyar University,IND,"Periyar University, Periyar, Palkalai Nagar, Salem, Tamil Nadu 636011, India"
3263,Pes University,IND,"Outer Ring Rd, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085, India"
3264,Postgraduate lnstitute of Medical Education and Research,IND,"Madhya Marg, Sector 12, Chandigarh, 160012, India"
3266,PSG College of Technology,IND,"Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004, India"
3267,Punjab Agricultural University,IND,"Ludhiana, Punjab 141027, India"
3268,Punjab Engineering College Deemed University,IND,"Vidya Path, Sector 12, Chandigarh, 160012, India"
3269,Punjabi University Patiala,IND,"NH 64, Next to, Urban Estate Phase II, Patiala, Punjab 147002, India"
3270,Punjab Technical University,IND,"Jalandhar-Kapurthala, Highway, Vpo, Ibban, Punjab 144603, India"
3271,Rabindra Bharati University,IND,"No 6/4, Dwarakanath Tagore Lane, Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007, India"
3272,Rajasthan Agricultural University - Bikaner,IND,"Sri Ganganagar Rd, Bichhwal, Bikaner, Rajasthan 334006, India"
3273,Rajasthan Technical University,IND,"Rajasthan Technical University, Kota, Rajasthan 324010, India"
3274,Rajasthan Vidyapeeth University,IND,"Pratap Nagar, Udaipur, Rajasthan 313001, India"
3275,Rajendra Agricultural University,IND,"Pusa, Bihar 848125, India"
3276,Rajitlal Institute of Technology & Health Sciences (RITHS),IND,"J-11, Jan Villa Ln, Althara Nagar, Sasthamangalam, Thiruvananthapuram, Kerala 695010, India"
3277,Rajiv Gandhi Technical University (University of Technology of Madhya Pradesh),IND,"Airport Rd, Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh 462033, India"
3278,Rajiv Gandhi University,IND,"4th T Block, 4th T Block East, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka 560041, India"
3280,Rani Durgavati University,IND,"Saraswati Vihar, Pachpedi, Jabalpur, Madhya Pradesh 482001, India"
3281,RKDF University,IND,"Airport Rd, Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh 462033, India"
3282,Sambalpur University,IND,"Jyoti Vihar, Burla, Odisha 768019, India"
3283,Sampurnanand Sanskrit University,IND,"Sampurnanand Sanskrit vishwavidyalay, Jagatganj, Chaukaghat, Varanasi, Uttar Pradesh 221001, India"
3284,Sanjay Gandhi Postgraduate lnstitute of Medical Sciences,IND,"New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014, India"
